Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Ch3Amplitude,Ch4Amplitude,Ch5Amplitude,Ch6Amplitude,Bd,IPC,
1331.331,3124.213,-25.87267,-19.44821,268.8614,71.67396,0,0,
1306.726,3091.904,5.598296,-27.494,262.8318,30.77305,0,0,
1210.541,3272.236,14.14922,2.869378,271.8103,22.08879,0,0,
1270.469,3212.929,7.729743,-13.71685,253.8221,24.49337,0,0,
1316.602,3296.288,-11.33658,-7.00073,204.9126,101.2441,0,0,
1411.91,3218.065,-29.58914,-10.62254,260.3795,41.76467,0,0,
1334.737,3212.461,5.129057,25.59203,221.5502,65.1274,0,0,
1305.436,3114.781,-3.336153,2.962162,251.3129,60.78049,0,0,
1369.733,3237.243,15.31441,-34.32644,232.4084,46.06574,0,0,
1443.123,3191.878,-7.284469,41.70727,225.1655,57.98014,0,0,
1391.603,3504.336,-21.54241,23.39101,275.7926,89.22211,0,0,
1294.263,3175.153,-1.286716,23.4508,294.275,27.71075,0,0,
1329.328,3342.931,-23.21694,-13.65302,284.1574,43.9934,0,0,
1316.988,3056.477,-25.1302,-32.67849,249.7515,77.99429,0,0,
1223.143,3302.468,-41.57257,24.60914,160.8629,106.4331,0,0,
1154.233,3286.134,-31.84004,36.11469,201.2322,75.93623,0,0,
1322.13,3287.443,-42.30802,12.18299,229.679,63.50828,0,0,
1248.228,3311.622,24.3168,15.24078,315.9645,-46.28815,0,0,
1237.047,3385.443,1.849104,20.81696,290.6204,-5.750097,0,0,
1201.152,3282.26,3.434964,36.76029,224.2399,15.73558,0,0,
1313.504,3135.333,10.90454,-3.656239,268.6589,38.02344,0,0,
1279.132,3250.706,-5.998857,22.06041,280.6529,40.84413,0,0,
1256.357,3360.611,-41.35848,8.983069,157.0968,110.4216,0,0,
1335.999,3445.782,-30.48658,70.42889,261.1705,38.18579,0,0,
1254.036,3360.323,-23.14962,-54.86937,188.8492,95.55518,0,0,
1409.93,3065.243,-30.10155,-29.57532,257.3867,16.98515,0,0,
1312.03,3167.746,5.835274,45.97416,223.572,75.09408,0,0,
