Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Ch3Amplitude,Ch4Amplitude,Ch5Amplitude,Ch6Amplitude,Bd,IPC,
326.3435,1990.696,-7.903162,-6.231276,124.6141,83.8231,0,0,
180.877,1965.984,-1.168774,-9.652583,148.3885,49.31046,0,0,
245.7734,2238.496,12.41317,2.842216,227.1849,-35.65129,0,0,
241.3418,2045.64,62.59939,-36.85783,262.7275,-43.45552,0,0,
275.1713,2037.521,5.078365,-1.126704,139.7967,43.66531,0,0,
235.6966,1866.453,-23.80052,11.8603,178.5583,13.00243,0,0,
363.1495,2889.03,28.75729,28.83892,238.2037,41.6263,0,0,
3256.215,2276.003,19.26151,54.81726,305.401,-5.275464,1,0,
164.9935,1629.535,-7.498838,34.14138,111.5903,15.93805,0,0,
383.1099,2327.371,7.093575,-13.62023,258.4575,19.74105,0,0,
219.1011,1890.484,-4.732052,-18.00073,166.7101,37.87971,0,0,
254.1943,1678.363,-17.72978,27.8813,78.03604,79.31889,0,0,
310.3689,1709.05,1.838459,47.08632,85.54604,67.41577,0,0,
274.6255,1872.415,14.98719,14.91309,200.7025,-15.77905,0,0,
2540.011,2054.528,-7.281354,15.78691,202.5057,19.8045,1,0,
225.2186,1719.122,-24.64484,-29.78646,97.92081,38.52935,0,0,
225.8394,2145.789,3.106893,-46.87773,175.1308,14.33614,0,0,
201.7788,2076.87,-18.59888,-57.03928,190.2081,32.85669,0,0,
291.5912,1777.749,6.451722,-61.70073,172.4462,25.54168,0,0,
229.4036,1735.957,-27.65444,-11.15164,139.1924,21.23474,0,0,
329.8956,2012.695,-0.4996429,-10.80055,142.7976,30.8049,0,0,
270.0002,1832.196,-6.261202,23.03643,184.7844,-20.07134,0,0,
257.7206,1677.918,1.014858,40.08595,189.7308,-3.543878,0,0,
268.5233,1843.488,4.001752,33.38822,182.8449,10.84492,0,0,
213.6033,2170.928,-16.06753,47.04839,203.872,28.49821,0,0,
333.5409,2104.228,4.984258,49.4664,128.6716,55.49907,0,0,
2578.544,2223.837,0.7745012,15.84503,216.199,37.41709,1,0,
233.0033,2223.847,3.061751,-8.358441,206.2061,17.99446,0,0,
252.9251,2048.883,-7.519584,-50.18617,240.9939,11.34292,0,0,
200.9829,2031.919,-34.97956,5.298884,105.9926,81.80204,0,0,
235.4001,2093.877,-5.029266,-0.6180984,296.529,-71.74925,0,0,
261.974,1983.951,-6.027802,16.42828,249.3313,-44.3942,0,0,
263.459,1832.658,-30.80547,-43.32574,124.0301,56.53676,0,0,
308.4946,2518.003,-18.13811,44.28781,237.8505,27.96315,0,0,
265.4787,1849.988,-12.7759,26.56894,162.4742,49.0184,0,0,
324.0649,2120.018,-9.747871,51.05999,230.9589,53.72875,0,0,
255.7131,2038.332,-16.31974,43.49709,143.8706,82.0119,0,0,
247.1839,1638.616,-2.463481,10.52738,148.945,52.62228,0,0,
248.2647,1656.221,-4.8931,32.13983,152.8059,13.30539,0,0,
292.4764,1899.651,-14.8153,-53.69697,177.4425,13.76764,0,0,
258.5919,1689.605,-10.90223,1.988039,113.4981,50.96452,0,0,
297.4086,1627.631,-3.547572,2.069167,68.18146,70.04913,0,0,
365.72,2310.943,-16.27759,-36.64296,166.0609,66.42669,0,0,
233.688,1486.76,-23.02013,-27.11802,92.62909,17.12733,0,0,
264.0117,2008.369,-30.57445,-29.35249,246.6384,-12.56904,0,0,
201.9437,1898.365,-3.58768,-21.14896,135.0404,20.10075,0,0,
414.2022,2494.467,11.6374,-53.17179,117.4214,68.99047,0,0,
198.3653,1643.352,9.312839,-44.97629,143.6018,34.50551,0,0,
274.2659,1597.423,-15.87235,25.38088,130.0603,54.56199,0,0,
238.8463,2254.979,-5.05258,-38.23383,212.5836,-11.56289,0,0,
210.379,1846.76,-25.25965,-8.702599,112.2388,80.91303,0,0,
213.601,1843.127,11.92721,60.22727,204.6561,-13.29189,0,0,
260.8198,2025.623,8.213821,-42.83303,91.58723,98.40605,0,0,
274.496,2160.528,-6.050256,-53.05944,158.241,26.18559,0,0,
299.3066,2068.499,-7.198635,56.95508,308.5999,-65.46011,0,0,
286.0572,2286.217,-24.66711,9.027145,195.0121,37.37572,0,0,
321.4729,1919.403,10.64165,46.9655,152.9578,61.85394,0,0,
291.9093,1782.109,-8.629425,15.41688,145.2253,55.15129,0,0,
266.8031,1541.442,-1.488351,-26.26866,122.4943,49.66137,0,0,
263.1949,1714.491,-26.87168,-0.9560519,115.4497,93.97813,0,0,
267.9523,2149.3,6.858467,-68.10372,204.3201,63.1232,0,0,
270.1906,1945.021,0.4600806,-38.16179,161.2032,10.68632,0,0,
307.2143,1658.604,-22.03536,48.38396,100.8474,98.90274,0,0,
338.8502,1662.58,4.569608,12.97491,120.6815,53.97832,0,0,
317.5267,1941.55,-0.1581813,-75.28796,92.66949,69.84305,0,0,
312.6759,1945,-21.81227,14.19096,89.36516,85.26755,0,0,
257.5338,1523.659,5.466429,2.014672,200.826,-2.959916,0,0,
264.2074,1754.807,-17.68609,-14.78658,229.402,41.22732,0,0,
270.628,2121.465,5.462127,3.45531,264.4429,25.69745,0,0,
288.4865,2421.872,-30.76934,-12.52394,186.4121,33.35295,0,0,
318.4578,2150.62,-10.63193,10.24129,131.3013,3.247317,0,0,
285.7159,2102.31,-19.51352,30.41771,169.4193,73.23603,0,0,
293.9371,1956.591,15.97821,-24.43147,213.2554,-21.94711,0,0,
213.2906,1912.638,-2.394037,-50.24221,125.9831,45.43588,0,0,
1929.664,1702.16,-1.66908,-2.667239,159.8892,50.93522,1,0,
269.435,2087.001,-5.71824,-53.72123,157.1555,63.81927,0,0,
419.0709,2564.903,-14.5372,27.15069,175.1746,75.78745,0,0,
302.7616,1603.338,13.81774,-20.35739,189.3892,-17.98384,0,0,
252.2885,2311.387,-22.02925,28.96397,161.6193,50.11566,0,0,
259.2671,1741.762,-33.76231,-34.57826,171.7033,38.61103,0,0,
217.304,1938.189,-15.41425,-20.47672,163.3961,40.06156,0,0,
257.0858,2067.07,8.789522,-29.59838,169.6039,51.82583,0,0,
1820.828,1791.03,-9.805777,65.89645,183.3716,28.75695,1,0,
223.4582,2070.933,4.641229,34.89793,175.368,-23.11569,0,0,
162.6906,1542.384,-3.444468,-9.13667,181.7278,21.70084,0,0,
196.2657,1569.432,-6.528966,49.34823,189.1712,-32.56351,0,0,
288.0805,1889.431,-2.587167,-12.91615,209.4335,-15.54302,0,0,
272.5665,1827.698,-25.47828,-35.01059,138.1915,30.55735,0,0,
277.9459,2007.412,5.694224,45.79796,211.571,15.2273,0,0,
197.5506,2159.487,11.83381,-41.1019,221.244,11.90866,0,0,
242.5281,1899.169,-15.35594,12.14676,243.7441,-18.3717,0,0,
288.3958,1883.664,-23.0125,-4.801499,67.28738,67.9712,0,0,
241.4281,1829.559,11.2501,-17.60164,179.8431,3.408199,0,0,
272.3402,2011.821,-20.48398,5.843998,115.8848,84.50696,0,0,
247.4114,1717.886,-20.35465,2.191481,106.0904,81.49171,0,0,
258.4869,2084.93,-5.747149,-38.3085,172.9755,14.08878,0,0,
276.7993,2016.439,11.97696,-6.017804,49.74944,81.19648,0,0,
302.2068,2077.651,-19.55151,-17.68472,161.023,60.04215,0,0,
292.9038,2065.103,5.581195,32.32496,220.5148,21.85311,0,0,
274.811,1856.938,-6.67264,-11.43659,144.184,51.23257,0,0,
325.379,2134.987,15.27552,-47.15065,176.1004,3.492551,0,0,
220.7074,1650.679,24.44253,-41.76688,91.68172,22.82681,0,0,
182.6323,1658.041,3.988805,-46.67656,91.12091,44.20318,0,0,
289.8775,2088.145,-23.66021,-13.454,232.5206,-18.1926,0,0,
2710.464,2074.239,-11.6929,17.10458,117.8592,53.51886,1,0,
229.2529,1927.239,-1.095876,0.4020321,249.0107,-16.86767,0,0,
254.9081,2198.939,-15.08997,-42.13953,177.1944,30.83417,0,0,
300.7187,2014.708,19.92335,9.054454,202.923,8.000352,0,0,
309.3979,2088.77,-23.24637,-24.59088,222.0959,26.22209,0,0,
308.2993,1933.922,-9.540928,-36.4641,118.12,66.47543,0,0,
311.7297,2742.255,-10.58011,18.9835,250.9472,44.16896,0,0,
254.1556,2135.488,-11.14003,-27.78846,245.1737,21.41704,0,0,
196.737,2065.881,5.116327,15.43578,163.7615,34.79524,0,0,
204.4796,1874.162,-3.727634,-11.77526,192.0225,12.58517,0,0,
254.3282,1880.335,5.428552,-13.29342,258.1062,-51.81822,0,0,
295.107,2071.101,1.893694,-16.24329,201.9339,45.96746,0,0,
198.9503,2228.601,-13.24196,-17.85582,208.1982,21.27445,0,0,
327.6403,2180.737,-7.120505,31.85253,208.9984,11.90988,0,0,
277.3302,2100.849,5.373514,3.877179,186.2484,18.42284,0,0,
230.3739,2105.757,38.49194,-30.36006,205.2463,-13.6785,0,0,
289.7786,2254.865,-2.666224,32.93991,190.8524,49.2134,0,0,
209.9454,2112.579,-9.417554,3.75749,176.7408,26.29225,0,0,
304.1477,2017.092,-25.67773,9.839704,155.3203,47.02995,0,0,
248.0641,1811.093,2.779153,-49.04091,175.4819,4.368549,0,0,
2374.667,2102.251,6.973957,42.59738,182.4616,24.68897,1,0,
246.4993,1985.588,16.34245,8.965528,173.918,74.09245,0,0,
294.9855,1928.126,18.52151,-7.574671,282.4777,-51.4038,0,0,
291.4008,1828.638,-18.81633,-82.72041,30.99678,166.9691,0,0,
389.6172,2049.308,4.545086,-66.43023,218.5298,28.52211,0,0,
300.4933,1841.644,-11.97191,11.01044,191.9235,6.142857,0,0,
3080.483,2179.183,6.361593,13.63097,251.974,-11.68874,1,0,
177.9704,2036.45,-7.574734,3.959752,169.2882,23.36022,0,0,
277.6432,2043.145,14.79849,-24.37165,169.2465,80.75422,0,0,
216.3415,1906.504,-28.25595,-18.74273,154.1536,41.29007,0,0,
237.5722,1782.156,-24.08421,10.22583,98.82307,110.2955,0,0,
262.7726,1931.107,1.386979,10.91044,170.6398,43.69649,0,0,
233.9682,1961.917,-12.97734,5.456979,159.6664,48.21809,0,0,
380.8506,1939.544,5.30313,-64.0748,249.1079,-0.7492235,0,0,
250.117,1952.864,-12.07927,-15.2822,201.2179,15.13011,0,0,
262.9488,2340.213,-36.29485,-32.65086,75.79291,124.7097,0,0,
232.127,1783.077,10.85238,19.66583,147.1215,2.4725,0,0,
227.0779,2008.409,-10.96937,-11.88024,171.8638,14.52995,0,0,
271.7711,2054.358,1.317232,9.753486,255.3135,-32.4574,0,0,
349.5308,2140.222,-8.708242,-7.869278,206.7247,50.42652,0,0,
270.2463,2103.374,-23.23681,-8.315179,147.1858,52.22294,0,0,
221.7454,1798.718,20.88021,25.37166,158.3948,28.65201,0,0,
334.6399,2246.201,0.8372761,0.009935284,274.6014,-44.70065,0,0,
382.6641,2128.767,4.606836,11.29851,292.3062,11.65166,0,0,
267.9305,1832.587,-8.674561,-31.29481,158.1947,21.64329,0,0,
224.9279,1630.974,-9.217246,-12.04006,98.71167,65.8001,0,0,
340.8391,1966.441,8.231936,38.33354,147.7369,43.37564,0,0,
210.6676,1529.504,14.87078,-7.199097,76.50827,94.3568,0,0,
294.8074,2191.176,23.68285,73.23154,148.7803,18.65587,0,0,
242.7452,1696.491,1.57323,66.19952,129.3254,82.72104,0,0,
1921.399,1907.264,-8.608605,-20.72788,145.6554,22.82862,1,0,
283.4009,2105.09,5.436447,89.36996,188.2155,20.08021,0,0,
268.1438,1853.732,-5.491772,-16.20068,147.6357,35.74111,0,0,
291.7359,2091.064,-29.40767,12.09865,224.9997,-5.853029,0,0,
276.1068,2000.206,-16.39666,4.771426,162.1511,59.34372,0,0,
367.0588,2787.176,-18.57613,-15.55076,171.0127,114.8068,0,0,
345.6221,2866.087,-11.52627,-25.37138,239.0563,57.44547,0,0,
227.955,1896.624,13.14405,-20.01089,206.951,46.72824,0,0,
290.3816,2039.637,16.23162,-12.99582,177.5769,16.42098,0,0,
292.2778,2090.799,-2.736962,6.878624,134.7064,80.57574,0,0,
215.7517,1878.54,0.2562991,7.183416,191.1548,40.45768,0,0,
198.0375,2271.654,18.99325,-32.27164,253.6815,2.539293,0,0,
236.9201,1811.586,-15.26541,91.68983,181.9505,28.34355,0,0,
335.6835,2199.961,-21.63436,94.97616,211.9885,-4.320902,0,0,
319.4872,1804.434,-43.60008,35.36777,176.5882,20.33511,0,0,
194.3447,2180.543,1.902137,5.809022,265.356,-19.2767,0,0,
218.1297,2183.438,-27.5366,-0.4529075,232.2517,34.30544,0,0,
204.4638,2060.827,-23.56829,-10.77192,166.0135,33.04847,0,0,
202.7812,1776.72,-10.39594,-21.21879,171.7486,22.22538,0,0,
388.4753,2135.913,-15.15808,57.44772,183.5178,16.17484,0,0,
279.4754,2136.353,-15.4609,-44.23879,182.9976,17.09786,0,0,
322.6946,1862.498,-22.43225,5.609351,157.2667,63.67166,0,0,
389.3117,2259.256,-7.91677,-13.38026,151.7232,7.942146,0,0,
313.3229,2129.555,4.255262,46.49558,175.4499,19.35586,0,0,
300.4009,2246.865,18.29528,-26.11752,96.25507,90.81924,0,0,
293.8077,1873.268,10.25135,-3.734355,326.113,-93.05832,0,0,
217.7035,1885.544,-5.582101,-28.5156,167.3581,-23.18342,0,0,
3055.542,2306.239,6.864503,-12.08621,141.2839,56.15233,1,0,
298.1658,2315.607,-5.580103,14.7991,178.9559,76.62018,0,0,
255.3517,2092.914,-1.242315,-22.62334,162.7752,79.5954,0,0,
389.8595,2287.557,-4.596416,26.77284,274.8884,0.6297977,0,0,
234.0964,1750.607,46.58958,-15.25984,165.3886,37.92595,0,0,
223.0172,2105.668,6.214226,-3.124743,134.7231,64.82686,0,0,
273.9403,1919.048,-13.61799,-62.68724,143.5031,80.13763,0,0,
287.4799,1839.998,-34.92255,-13.48831,126.7154,43.5715,0,0,
200.8398,1915.172,-38.97834,-19.65386,125.1319,22.4181,0,0,
233.3572,1879.335,-27.92388,-15.64899,188.4859,-0.04302289,0,0,
376.1494,1925.912,12.51656,-35.26144,119.392,85.3549,0,0,
244.5446,1685.127,-38.84602,24.44378,137.6197,59.98616,0,0,
383.856,1995.795,-27.75086,4.719109,190.5184,35.76252,0,0,
214.7002,2154.493,-5.689089,-31.30238,167.2958,52.25787,0,0,
259.9778,2033.408,-15.05002,-45.82093,188.7068,15.0059,0,0,
170.1619,2024.363,-28.59798,21.01454,135.9688,58.64547,0,0,
352.0562,2024.243,18.88409,-31.16794,75.57574,131.6672,0,0,
244.9941,1669.271,-22.52344,51.36373,135.0581,-1.721969,0,0,
240.1824,1821.876,1.119462,8.317716,157.9552,42.7418,0,0,
210.4139,1682.426,-24.95019,0.1258276,129.333,11.22614,0,0,
299.7832,1721.875,-42.64142,-2.621458,100.0667,47.29224,0,0,
292.4056,2062.121,5.319633,12.48439,263.1788,-11.62738,0,0,
213.5672,1979.384,-25.83343,38.16908,105.3496,74.31292,0,0,
2647.035,1859.544,-2.178154,-8.637835,173.5385,23.39781,1,0,
254.5754,2050.378,-16.57913,-28.6854,162.7321,8.493183,0,0,
236.6698,1678.371,-0.389197,1.91189,87.23943,53.17735,0,0,
243.2921,2088.939,-21.51394,25.20746,171.1029,-3.26603,0,0,
273.3254,2244.754,7.665724,-79.98978,122.2487,45.34537,0,0,
529.3915,2994.349,-25.45595,-19.60421,250.7958,102.681,0,0,
322.6253,1995.568,8.808231,-72.67965,183.1678,14.09447,0,0,
354.4965,2317.917,-1.36545,22.07161,274.5982,-13.47753,0,0,
312.561,1882.823,-3.281127,-41.17108,127.5042,35.02589,0,0,
355.0829,1996.712,6.221721,15.07608,240.4594,-18.98112,0,0,
229.2041,1689.717,-5.546134,-19.3083,161.421,77.21335,0,0,
295.6792,1859.5,18.03186,-63.3545,232.2432,-0.7379302,0,0,
265.8376,1764.523,2.298124,37.40542,178.2303,23.00885,0,0,
286.214,1889.865,-25.15211,-25.23435,154.9648,33.76508,0,0,
220.1338,1648.711,-23.46054,43.96669,130.2215,21.1763,0,0,
390.8952,2039.75,-20.58486,-2.094996,124.9808,33.38673,0,0,
269.8138,1913.01,42.67498,-99.49123,136.1998,35.88723,0,0,
2252.119,1855.435,19.87387,-21.1647,192.1888,40.01122,1,0,
227.6409,1688.839,43.17443,-30.97958,187.4974,-4.057298,0,0,
231.9207,1750.895,-6.829895,-38.91245,87.85677,71.75783,0,0,
271.8489,1871.087,-13.26715,19.24377,155.2073,68.30882,0,0,
365.1577,2060.954,-7.472733,-70.07077,208.4227,6.291256,0,0,
182.8346,1529.237,-6.716113,23.26482,95.93982,33.11152,0,0,
314.4958,2047.331,6.858147,-14.26826,245.8166,-16.40495,0,0,
293.3064,1884.714,19.72751,-32.09024,155.2765,34.78506,0,0,
239.662,2044.388,3.92048,4.006644,165.7796,46.83511,0,0,
219.7379,2022.412,2.727377,7.482799,121.2395,33.72231,0,0,
259.7624,2427.056,7.067797,-47.80868,149.1451,79.91848,0,0,
194.1819,1541.852,-45.21371,43.98922,137.7965,84.48781,0,0,
3222.171,2198.763,-6.550823,-39.72834,118.3357,89.87948,1,0,
2561.996,2058.905,-12.52839,16.43249,140.6085,64.97892,1,0,
361.3133,2120.763,-21.22267,22.69382,190.5038,13.50842,0,0,
336.4272,1842.578,-15.54028,26.97264,231.8694,-3.243941,0,0,
2374.259,1711.108,-5.99978,12.00521,119.7731,51.43999,1,0,
290.2433,2645.383,14.07446,-79.922,183.8109,76.43359,0,0,
414.7147,2766.978,-12.18556,5.531333,199.2156,57.87123,0,0,
306.8655,1651.026,9.422601,-47.44258,110.8706,27.99275,0,0,
325.9793,1732.98,20.23652,-53.7646,197.2498,32.5157,0,0,
400.6695,2684.788,-7.197824,-4.813039,186.2331,83.83002,0,0,
287.1125,2014.15,1.375198,-22.41898,237.9902,-14.13009,0,0,
214.2929,1761.333,-20.30243,-16.86703,177.178,16.30247,0,0,
179.1468,1918.826,-9.591134,-13.65397,146.8683,2.927591,0,0,
206.7488,1640.24,14.73341,-59.23346,67.50457,79.01748,0,0,
273.6594,1904.08,-32.88479,36.25859,123.1561,38.91817,0,0,
194.6122,1663.606,-35.87544,-40.99199,150.1604,18.79238,0,0,
256.6703,1830.556,4.054765,16.39695,202.7452,29.25699,0,0,
242.3002,2053.637,-11.38291,-41.93768,167.2444,29.19367,0,0,
862.1284,1813.787,6.209362,-23.42025,149.9719,5.826766,1,0,
202.3953,1781.906,-10.0585,3.999314,241.6294,-30.22373,0,0,
282.4073,1988.217,12.77961,25.51922,168.5082,74.10468,0,0,
279.0255,2005.478,-0.9989713,-34.43774,150.5447,14.12806,0,0,
301.492,1795.379,-0.6371828,0.4086957,209.5613,17.78174,0,0,
492.6784,2548.362,6.186991,-2.282579,242.5522,11.17097,0,0,
302.7872,2167.467,-34.31585,66.90757,205.7174,2.216991,0,0,
