Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Ch3Amplitude,Ch4Amplitude,Ch5Amplitude,Ch6Amplitude,Bd,IPC,
376.8249,2678.471,17.86725,-40.46045,187.8016,69.17272,0,0,
277.0585,2782.004,13.46314,4.000405,212.2808,31.74822,0,0,
350.4113,2551.176,-27.28299,-13.9142,211.1958,56.28741,0,0,
268.3444,2673.271,-7.990197,44.18172,180.5018,29.63343,0,0,
312.61,2836.597,3.347325,37.29537,218.1281,49.0677,0,0,
390.8553,2573.785,-35.40733,-21.06344,165.6064,67.43639,0,0,
303.7382,2675.096,3.488165,-0.9923326,165.1677,64.5924,0,0,
326.018,2605.924,-28.92141,-18.32775,191.5243,64.07059,0,0,
235.1294,2735.148,-27.14774,11.56139,223.2731,81.67631,0,0,
319.3803,2719.378,-21.76599,-16.75043,135.237,104.2822,0,0,
322.1638,2653.316,-14.12009,-75.97385,188.0623,46.07793,0,0,
369.8381,2840.027,23.04117,-49.44822,258.3974,46.17194,0,0,
282.8349,2642.258,-4.261526,13.2594,215.4646,41.19065,0,0,
387.9817,2513.17,13.44659,-13.36437,274.2697,3.957471,0,0,
283.1215,2624.517,-20.80882,-17.18757,287.4956,26.68825,0,0,
373.0594,2675.109,4.489871,33.07825,242.9905,26.3551,0,0,
307.4531,2561.257,-0.3379805,-0.7880261,258.3129,7.668551,0,0,
334.2,2634.975,-11.7464,19.40029,221.4322,47.59876,0,0,
332.8484,2738.387,25.32259,-50.90074,233.7633,37.27546,0,0,
306.8837,2721.887,-0.02232469,-29.10062,344.6121,-20.84303,0,0,
297.36,2695.366,-11.1121,0.03558759,179.3886,73.80503,0,0,
362.1599,2586.043,-4.092705,17.8445,224.1257,56.69497,0,0,
313.824,2638.599,2.990446,15.45687,210.9162,15.80512,0,0,
367.6276,2526.464,14.57763,31.45861,251.7273,2.468634,0,0,
296.3053,2748.547,17.05965,20.13109,234.5055,52.77313,0,0,
308.0547,2653.391,-11.01741,-14.39235,135.0384,132.2813,0,0,
377.6441,2627.615,-25.50054,-45.35767,215.6563,59.2215,0,0,
266.1288,2661.273,8.053987,-20.4728,287.5082,-14.37956,0,0,
416.7056,2532.676,-6.466978,10.31824,227.1565,71.70544,0,0,
388.7497,2606.433,-16.39843,36.65736,244.8533,55.06923,0,0,
252.5077,2732.153,1.519073,-29.14792,228.0744,3.557987,0,0,
397.7068,2641.447,-15.49081,-11.92571,266.7867,-28.20696,0,0,
346.4093,2850.279,-11.20389,-26.30602,240.4138,57.4772,0,0,
361.7664,2572.028,40.38867,45.04113,221.7959,47.71363,0,0,
367.0084,2879.029,10.91391,23.87821,293.2109,43.97419,0,0,
266.3352,2772.836,-18.62644,49.55163,222.4962,70.7199,0,0,
290.3336,2576.406,0.3018779,-45.35803,204.9748,42.24279,0,0,
259.0833,2910.513,-17.77187,26.75192,288.5745,5.657341,0,0,
201.1418,2961.038,-44.95086,-13.71592,243.3951,71.58315,0,0,
281.1201,2870.364,-4.484781,-25.02605,263.3542,65.50883,0,0,
333.5976,2680.998,-36.57146,25.01488,182.4871,51.92151,0,0,
347.2179,2714.689,-19.30963,65.35434,187.6828,90.89694,0,0,
320.6685,2908.06,-1.440089,10.16192,268.7585,60.88538,0,0,
360.9697,2671.675,6.201423,-21.26215,178.4324,93.05585,0,0,
366.7744,2550.54,-16.45189,63.34422,228.3143,69.75111,0,0,
329.5736,2735.463,-8.332674,43.50575,239.7486,66.27114,0,0,
344.3113,2572.142,-0.2600025,45.29145,217.6673,49.90786,0,0,
352.0046,2709.566,-41.57036,15.32379,234.1428,24.44359,0,0,
241.3881,2927.618,-20.93317,-18.34042,150.2798,94.38895,0,0,
297.6719,2631.208,-24.06308,-12.52544,283.0762,-2.36787,0,0,
392.9766,2567.247,-23.21767,-6.42284,250.4289,-7.278367,0,0,
356.7778,2612.872,-18.41409,62.24549,229.6746,49.54677,0,0,
313.359,2648.039,14.75432,-19.92249,261.7507,56.90107,0,0,
319.3693,2716.235,-6.044235,5.171485,248.4002,81.77747,0,0,
372.414,2685.253,14.53714,36.39147,238.4205,39.78035,0,0,
318.9297,2797.732,10.54667,-1.338687,246.8673,48.07952,0,0,
344.3139,2628.873,-16.01237,-39.04243,211.0065,36.55074,0,0,
401.0092,2623.609,-0.5931989,26.39172,218.8424,49.8886,0,0,
277.8087,2636.43,-24.96379,12.22711,210.7193,79.81051,0,0,
287.8542,2690.424,-15.34031,-40.64943,239.3871,64.95308,0,0,
276.9931,2735.453,-1.368879,60.09196,264.0466,1.276678,0,0,
281.1053,2689.372,15.6646,27.93384,206.8736,40.52838,0,0,
255.0368,2731.268,7.889621,5.859344,221.8509,50.83639,0,0,
286.419,2664.375,17.14532,-9.223084,261.6021,47.85999,0,0,
286.7824,2821.167,-27.56376,-28.65855,174.9223,78.5718,0,0,
393.9617,2705.306,-18.89492,42.94718,210.5236,94.06313,0,0,
276.4619,2663.968,-7.140603,-0.2259219,178.7782,92.63494,0,0,
271.8007,2786.601,-16.60058,19.6565,190.8554,86.2688,0,0,
396.5601,2543.401,-26.61662,10.7972,294.7212,-8.317833,0,0,
347.4987,2559.854,-28.29214,12.65699,221.7192,53.99757,0,0,
361.6181,2725.274,12.09803,-65.77012,254.0996,3.417314,0,0,
396.3632,2630.863,21.59219,-23.77429,271.5271,14.73244,0,0,
380.2484,2698.739,-7.234835,1.072102,184.9238,73.8369,0,0,
374.4594,2673.612,0.7713672,27.98463,255.8037,30.80347,0,0,
295.9774,2692.226,7.454678,-5.227936,229.1606,37.70585,0,0,
290.9466,2714.949,-26.22801,-17.6034,211.8182,41.28677,0,0,
347.3106,2625.65,1.073901,-12.1458,192.204,93.01563,0,0,
255.9277,2813.328,-10.24552,-38.62252,233.5322,-0.1460271,0,0,
397.6612,2635.022,-22.008,33.67334,249.4243,-13.88612,0,0,
460.2272,2524.561,-34.95234,53.81935,229.3432,37.78993,0,0,
359.2085,2662.394,-27.46088,-10.48292,257.6784,36.7174,0,0,
254.7414,2727.79,-8.137782,-40.69816,254.8898,-4.177179,0,0,
369.6327,2542.144,-13.57665,-5.089188,202.3643,78.03521,0,0,
292.244,2646.025,-15.85825,37.05563,265.658,15.68436,0,0,
341.1353,2661.375,-32.76202,-54.30007,171.2759,74.27206,0,0,
359.2466,2593.734,11.55453,39.70387,230.3236,29.79761,0,0,
310.1558,2703.2,25.01994,19.24618,295.3789,7.633298,0,0,
